"","location","year","region","hc_sq","hc_cf","hc_cf_lower","hc_cf_upper","sav_rate","gdp_sq","cs_sq"
"2910","Romania",2050,"Europe and central Asia",96757461.8882217,96778788.7717987,96775821.0080799,96781827.3484893,22.140419937053,2339534648499.01,5223736801762.72
"2911","Russian Federation",2021,"Europe and central Asia",1085658235.81973,1085658235.81973,1085658235.81973,1085658235.81973,26.3615079319478,4.11e+12,18077314109966.8
"2912","Russian Federation",2022,"Europe and central Asia",1083737209.96021,1083836993.34885,1083830866.75129,1083842688.1374,26.3615079319478,4.024923e+12,18256906380471.5
"2913","Russian Federation",2023,"Europe and central Asia",1087758343.05002,1087912009.00262,1087903198.70668,1087919696.79942,26.3615079319478,4115443518270,18405091457347.7
"2914","Russian Federation",2024,"Europe and central Asia",1086610471.7669,1086793440.65557,1086783514.3403,1086801656.4274,26.3615079319478,4158820292952.57,18569729853983.9
"2915","Russian Federation",2025,"Europe and central Asia",1085285004.4831,1085484061.28184,1085473667.12221,1085492349.07099,26.3615079319478,4198329085735.62,18737571102686.9
"2916","Russian Federation",2026,"Europe and central Asia",1082745406.85861,1082953443.40658,1082942830.0201,1082961731.52953,26.3615079319478,4238213212050.11,18907435402498
"2917","Russian Federation",2027,"Europe and central Asia",1080553889.06708,1080767236.80692,1080756481.25973,1080775574.77051,26.3615079319478,4278476237564.59,19079320544440.5
"2918","Russian Federation",2028,"Europe and central Asia",1078372384.87525,1078589423.59591,1078578542.25393,1078597856.65065,26.3615079319478,4319121761821.45,19253225369950.6
"2919","Russian Federation",2029,"Europe and central Asia",1075327038.44316,1075546797.91276,1075535801.04636,1075555340.14623,26.3615079319478,4395246506829.1,19429149727286.1
"2920","Russian Federation",2030,"Europe and central Asia",1071584584.07246,1071806523.79514,1071795413.07325,1071815174.47907,26.3615079319478,4472712954414.74,19616345497448.2
