"","location","year","region","hc_sq","hc_cf","hc_cf_lower","hc_cf_upper","sav_rate","gdp_sq","cs_sq","capital_share","tech_level","tc_share","he_pc","pop","tc","gdp_cf","gdp_cf_lower","gdp_cf_upper","cs_cf","cs_cf_lower","cs_cf_upper"
"2231","Mauritius",2031,"Sub-Saharan Africa",6869340.1671863,6877465.32009633,6876413.23776062,6878593.96838258,14.2908462603769,39974668330.6591,93471963599.0866,0.42614,24.6982790085022,6.90777640849795,2116.14291752082,1305273,190802746.409712,40044685625.5361,40041518356.2813,40048085044.6868,93675179056.5495,93672909662.3514,93677621068.1566
"2232","Mauritius",2032,"Sub-Saharan Africa",6884670.35359752,6892930.8577456,6891861.05811606,6894078.23008667,14.2908462603769,41443184600.0469,94511083813.3624,0.42614,25.4195037226535,7.04593193666788,2200.88212465957,1304596,202307167.392063,41522326063.8214,41518923712.8154,41525976955.6176,94741411889.0686,94738803335.0005,94744217605.86
"2233","Mauritius",2033,"Sub-Saharan Africa",6900164.80376947,6908576.43221907,6907487.1276274,6909744.35538433,14.2908462603769,42965648534.8817,95708111419.2911,0.42614,26.1386137995917,7.18685057540126,2289.01464383175,1303593,214451558.198744,43054688883.6104,43051032706.8732,43058611035.6862,95967144482.3941,95964180131.2779,95970331656.6796
"2234","Mauritius",2034,"Sub-Saharan Africa",6903351.80264316,6911923.98278559,6910814.32314848,6913113.45846111,14.2908462603769,44544041965.8506,97062860625.2204,0.42614,26.875856121742,7.33058758690928,2380.67635743403,1302218,227259915.165679,44643825291.5807,44639892358.0196,44648043434.76,97352313596.9999,97348974964.843,97355901921.2943
"2235","Mauritius",2035,"Sub-Saharan Africa",6902537.49104902,6911281.16852405,6910149.86581694,6912493.70995938,14.2908462603769,46180419528.5126,98575438149.4568,0.42614,27.618402814791,7.47719933864747,2476.00858916215,1300510,240771346.619698,46291816321.254,46287584234.1833,46296354759.678,98897155719.4087,98893421969.3709,98901167435.8452
"2236","Mauritius",2036,"Sub-Saharan Africa",6895900.18516925,6904823.65616675,6903669.88599969,6906060.44080195,14.2908462603769,47876911337.8708,100246238999.201,0.42614,28.3697845571465,7.62674332542041,2575.15832190333,1298393,255005314.115498,48000841026.3882,47996286149.8848,48005725919.7057,100602198498.029,100598046634.436,100606658209.902
"2237","Mauritius",2037,"Sub-Saharan Africa",6886929.24436327,6896036.37025816,6894859.74133252,6897297.97973923,14.2908462603769,49635725761.1984,102075942842.753,0.42614,29.124424730322,7.77927819192882,2678.27842435392,1295885,269998584.94895,49773132015.0564,49768232027.3985,49778387840.6392,102468257385.293,102463662184.481,102473192204.166
"2238","Mauritius",2038,"Sub-Saharan Africa",6876863.27740277,6886157.82205196,6884957.89085964,6887445.04678623,14.2908462603769,51459152292.7273,104065510959.37,0.42614,29.8803303459518,7.93486375576739,2785.5278867118,1293000,285789000.597508,51611022684.6017,51605754383.1582,51616675434.3803,104496431373.955,104491365683.481,104501870553.838
"2239","Mauritius",2039,"Sub-Saharan Africa",6856236.45360111,6865701.55311568,6864480.47233781,6867012.25670559,14.2908462603769,53349564533.942,106216183752.449,0.42614,30.6557178484912,8.09356103088274,2897.07206580693,1289727,302410409.494873,53516912131.3684,53511253958.992,53522985732.2656,106688103377.226,106682538086.416,106694078423.895
"2240","Mauritius",2040,"Sub-Saharan Africa",6831462.023788,6841092.23936768,6839850.45420212,6842425.87610014,14.2908462603769,55309423283.3581,108529478812.952,0.42614,31.4398211293947,8.25543225150041,3013.08294004784,1286045,319894718.181091,55493320859.5954,55487248053.489,55499841962.1061,109044934851.056,109038839224.071,109051479114.358
"2241","Mauritius",2041,"Sub-Saharan Africa",6799675.23136572,6809454.30116472,6808193.78087946,6810808.67254907,14.2908462603769,57341279739.8074,111007189521.231,0.42614,32.2393061162516,8.4205408965304,3133.73937457734,1281969,338283166.60179,57542828933.3019,57536318799.6345,57549821899.8069,111568868939.696,111562210238.676,111576017910.567
"2242","Mauritius",2042,"Sub-Saharan Africa",6763921.99356741,6773563.90593425,6772332.98679737,6774888.36918006,14.2908462603769,59447778823.3993,113651384176.518,0.42614,33.0493323892908,8.58895171446103,3259.2273970462,1277461,357604087.194162,59667104225.603,59660309093.1456,59674410531.7563,114262126236.705,114254870117.542,114269917113.125
"2243","Mauritius",2043,"Sub-Saharan Africa",6722444.52048846,6732185.70833833,6730941.550937,6733524.73847295,14.2908462603769,61631662618.482,116464405644.553,0.42614,33.8747261630279,8.76073074875025,3389.74048442979,1272543,377902051.523184,61870819802.5723,61863563170.1866,61878623906.1156,117127058708.091,117119194312.953,117135504173.67
"2244","Mauritius",2044,"Sub-Saharan Africa",6674111.78510937,6683939.59104363,6682683.57461238,6685291.43152026,14.2908462603769,63895773943.0842,119448871514.846,0.42614,34.7194955884041,8.93594536372526,3525.4798613303,1267242,399225525.452635,64156021997.0683,64148277640.2298,64164351169.5874,120166574911.905,120158066702.346,120175713376.644
"2245","Mauritius",2045,"Sub-Saharan Africa",6617242.88002846,6627173.40825156,6625903.57647287,6628540.28643299,14.2908462603769,66243060049.4852,122607674760.188,0.42614,35.5893712192093,9.11466427099973,3666.65481022399,1261632,421641547.416072,66525851525.1106,66517576042.493,66534753023.6695,123383737342.759,123374547809.549,123393609193.501
"2246","Mauritius",2046,"Sub-Saharan Africa",6559670.45209008,6569709.81724717,6568425.58019191,6571092.22582954,14.2908462603769,68676576460.7294,125943984892.02,0.42614,36.4682322948516,9.29695755641975,3813.48299413222,1255696,445191817.084314,68983354419.112,68974512735.3593,68992865457.2584,126781913785.792,126772001092.744,126792564143.471
"2247","Mauritius",2047,"Sub-Saharan Africa",6503433.22902815,6513585.04282771,6512286.21681951,6514983.24355891,14.2908462603769,71199490948.0796,129461249606.312,0.42614,37.3518160351674,9.48289670754814,3966.19079221348,1249497,469948036.845008,71531745557.7861,71522304031.8487,71541902662.7066,130364744899.932,130354064290.105,130376221947.566
"2248","Mauritius",2048,"Sub-Saharan Africa",6443035.722659,6453318.12272162,6452002.90488473,6454734.11689198,14.2908462603769,73815087654.5867,133163196915.557,0.42614,38.2542923883897,9.67255464169912,4125.01364879394,1243099,495989289.978041,74174495838.3446,74164405690.9396,74185351870.5192,134136158991.412,134124663138.119,134148513722.913
"2249","Mauritius",2049,"Sub-Saharan Africa",6382666.13180217,6393074.73499619,6391744.09655685,6394507.63258929,14.2908462603769,76526771370.1439,137053837763.459,0.42614,39.1663769749175,9.86600573453309,4290.19643637466,1236490,523370391.477181,76914960903.1682,76904187383.1976,76926554171.1458,138100395273.407,138088032245.326,138113683687.201
"2250","Mauritius",2050,"Sub-Saharan Africa",6316969.92537675,6327505.26903782,6326159.57169249,6328954.86447633,14.2908462603769,79338071963.5896,141137469119.823,0.42614,40.1032041801488,10.0633258492238,4461.99383317515,1229681,552157484.961524,79756822615.1799,79745320236.6799,79769203295.3392,142261968381.656,142248683877.803,142276249150.864
