"","location","year","region","hc_sq","hc_cf","hc_cf_lower","hc_cf_upper","sav_rate","gdp_sq","cs_sq","capital_share","tech_level","tc_share","he_pc","pop","tc"
"588","Cameroon",2038,"Sub-Saharan Africa",105758358.30268,105794090.661535,105778859.02599,105814579.159743,15.4728627787583,196060943623.964,366209086864.945,0.50353,32.4237552827075,1.3590136819043,139.869231459077,40260808,76529434.4904588
"589","Cameroon",2039,"Sub-Saharan Africa",107263389.105286,107299893.293954,107284343.252903,107320803.296796,15.4728627787583,203660320424.433,378234873291.372,0.50353,32.9095455856127,1.38619395554239,138.9971103646,41120629,79229975.5154716
"590","Cameroon",2040,"Sub-Saharan Africa",108817417.48893,108854703.845321,108838830.806459,108876040.542072,15.4728627787583,211554251186.992,390835211540.855,0.50353,33.3907289306962,1.41391783465324,138.130427172336,41987682,82004073.6055637
"591","Cameroon",2041,"Sub-Saharan Africa",110577511.411526,110615585.51974,110599386.595858,110637351.920152,15.4728627787583,219754152905.279,404026949952.605,0.50353,33.8434791285036,1.4421961913463,137.26914797555,42860379,84850281.8751778
"592","Cameroon",2042,"Sub-Saharan Africa",112337168.445219,112376023.533173,112359501.38974,112398215.19373,15.4728627787583,228271885098.786,417827860984.631,0.50353,34.300129836773,1.47104011517323,136.413239078921,43736232,87765211.1243568
"593","Cameroon",2043,"Sub-Saharan Africa",114092963.470595,114132599.204232,114115753.916753,114155215.215748,15.4728627787583,237119766965.285,432256663479.22,0.50353,34.7615813693161,1.50046091747669,135.56266699723,44613303,90746350.8939461
"594","Cameroon",2044,"Sub-Saharan Africa",116059824.378876,116100262.720808,116083085.078246,116123315.351842,15.4728627787583,246310595198.086,447333046469.109,0.50353,35.1953305239504,1.53047013582623,134.717398454044,45496349,93804806.9084319
"595","Cameroon",2045,"Sub-Saharan Africa",118005365.555998,118046616.499203,118029102.609882,118070110.587321,15.4728627787583,255857662493.897,463077694550.196,0.50353,35.6374453464653,1.56107953854275,133.87740038042,46380794,96932738.221412
"596","Cameroon",2046,"Sub-Saharan Africa",119982519.872614,120024587.388124,120006735.326902,120048524.668657,15.4728627787583,265774776778.054,479512314849.305,0.50353,36.0801909052111,1.5923011293136,133.042639913607,47269732,100138065.429045
"597","Cameroon",2047,"Sub-Saharan Africa",121978717.663362,122021596.564205,122003408.211983,122045973.635918,15.4728627787583,276076281174.926,496659665618.259,0.50353,36.5258325504362,1.62414715189988,132.213084395762,48162326,103420650.45179
"598","Cameroon",2048,"Sub-Saharan Africa",123947530.824271,123991221.533947,123972696.923217,124016037.965885,15.4728627787583,286777074752.378,514543586488.241,0.50353,36.9816766105784,1.65663009493788,131.388701372672,49051579,106766881.775023
"599","Cameroon",2049,"Sub-Saharan Africa",125836575.325342,125881092.140635,125862226.015616,125906354.999042,15.4728627787583,297892634070.299,533189030421.201,0.50353,37.4558182392066,1.68976269683663,130.569458592485,49943343,110190697.105301
"600","Cameroon",2050,"Sub-Saharan Africa",127656692.470768,127702048.668484,127682836.104486,127727764.313546,15.4728627787583,309439035564.349,552622097397.867,0.50353,37.9468402800979,1.72355795077337,129.755324004448,50837020,113692328.565955
"601","Canada",2021,"North America",280587833.292793,280587833.292793,280587833.292793,280587833.292793,20.3239047443815,1.84e+12,8320729246883.62,0.65488,187.646472628101,3.71817899559234,6552.219354,38019178,9262355469.66036
"602","Canada",2022,"North America",282289713.921546,282326272.962079,282321081.248269,282331983.390481,20.3239047443815,1903259200000,8278652631836.06,0.65488,193.669184189072,3.79254257550417,6652.54366577344,38290846,9660801539.40241
"603","Canada",2023,"North America",284411581.571928,284469862.639983,284461961.857603,284478404.516669,20.3239047443815,1927849308864,8251536587090.93,0.65488,195.432861366296,3.86839342701425,6754.40409332522,38617808,10090328263.177
"604","Canada",2024,"North America",286588817.951437,286660340.084625,286651018.959505,286670267.915139,20.3239047443815,1958849125750.53,8230774014885.12,0.65488,197.758048836634,3.94576129555456,6857.82415689329,38944775,10538197961.7655
"605","Canada",2025,"North America",288873905.037422,288953885.473422,288943761.612792,288964560.751162,20.3239047443815,2005430557960.88,8217349944544.55,0.65488,201.523982005607,4.02467652146566,6962.82773684572,39269317,11004491484.2208
"606","Canada",2026,"North America",291254061.182448,291339789.478809,291329139.356288,291350943.359111,20.3239047443815,2041167330503.74,8214064243632.01,0.65488,204.044023268321,4.10517005189494,7069.43907919488,39593577,11490550803.4149
"607","Canada",2027,"North America",293706444.973507,293796380.24421,293785327.317323,293807906.192016,20.3239047443815,2075275236596.46,8218205935375.42,0.65488,206.281690203046,4.18727345293284,7177.68280119596,39913954,11996107201.7883
